Date,DO,pH,Temp
01-01-2023 07:02,6.4,8.5,25.765
01-01-2023 07:17,6,8.4,25.355
01-01-2023 07:32,6.3,8.4,25.563
01-01-2023 07:47,6.3,8.4,26.493
01-01-2023 08:02,6.2,8.8,25.5
01-01-2023 08:17,6,8.7,25.2
01-01-2023 08:32,5.9,8.7,25.3
01-01-2023 08:47,5.9,8.7,25.4
01-01-2023 09:02,6,8.9,25.4
01-01-2023 09:17,5.8,9,25.7
01-01-2023 09:32,5.9,9.1,25.6
01-01-2023 09:47,5.9,9.1,25.5
01-01-2023 10:02,4.5,12,21.6
01-01-2023 10:17,4,15,21.5
01-01-2023 10:32,4.2,13,23
01-01-2023 10:47,4,12,24.3
01-01-2023 11:02,7.9,8.8,25.5
01-01-2023 11:17,7.9,8.8,25.4
01-01-2023 11:32,7.8,8.6,25.3
01-01-2023 11:47,7.9,8.7,25.7
01-01-2023 12:02,7.8,8.6,25.6
01-01-2023 12:17,7.8,8.5,25.7
01-01-2023 12:32,7.8,8.8,25.6
01-01-2023 12:47,7.8,8.7,25.4
01-01-2023 13:02,7.5,8.6,25.8
01-01-2023 13:17,7,8.6,25.8
01-01-2023 13:32,7.2,8.6,26
01-01-2023 13:47,7.2,8,26
01-01-2023 14:02,7.9,7.25,26.5
01-01-2023 14:17,7.9,7.5,26.8
01-01-2023 14:32,7.7,7.5,26.8
01-01-2023 14:47,7.8,7.5,27
01-01-2023 15:02,8,7.5,27.2
01-01-2023 15:17,7.9,7.4,27.4
01-01-2023 15:32,7.6,7.4,27.5
01-01-2023 15:47,7.6,7.4,27.4
01-01-2023 16:02,7.7,7,27.8
01-01-2023 16:17,7.7,7.2,27.8
01-01-2023 16:32,7.7,7.2,27.7
01-01-2023 16:47,7.6,7.5,27.8
01-01-2023 17:02,7.6,7.7,28
01-01-2023 17:17,7.9,7.5,28.2
01-01-2023 17:32,7.5,7.4,28.1
01-01-2023 17:47,7.5,7.5,28.2
01-01-2023 18:02,7.4,7.5,28.6
01-01-2023 18:17,7.4,7.4,27
01-01-2023 18:32,7.8,7.4,28.5
01-01-2023 18:47,7.4,7.5,27.9
01-01-2023 19:02,7,7,27.8
01-01-2023 19:17,7.5,7.2,27.8
01-01-2023 19:32,7.2,7.2,27.7
01-01-2023 19:47,7.2,7.5,27.8
01-01-2023 20:02,7.2,7.7,27.5
01-01-2023 20:17,7,7.7,27.4
01-01-2023 20:32,7,7.6,27
01-01-2023 20:47,7.1,7.8,27.6
01-01-2023 21:02,7.1,7.7,27.5
01-01-2023 21:17,6.9,7.7,27.5
01-01-2023 21:32,6.9,7.8,27.6
01-01-2023 21:47,7,7.7,27.5
01-01-2023 22:02,7.1,7.7,28.6
01-01-2023 22:17,7,7.8,27.8
01-01-2023 22:32,6.9,7.7,27.5
01-01-2023 22:47,6.9,7.7,27
01-01-2023 23:02,6.5,7.6,27.667
01-01-2023 23:17,6.9,7.7,27.557
01-01-2023 23:32,7,7.7,27.449
01-01-2023 23:47,7.1,7.8,27
02-01-2023 00:02,7.1,7.6,27.1
02-01-2023 00:17,7,7.6,27.1
02-01-2023 00:32,6.9,7.7,27
02-01-2023 00:47,7.2,7.6,27
02-01-2023 01:02,7,7.6,27.3
02-01-2023 01:17,6.8,7.8,27.4
02-01-2023 01:32,6.9,7.8,27.4
02-01-2023 01:47,6.9,7.8,27.4
02-01-2023 02:02,6.8,7.7,27.5
02-01-2023 02:17,6.8,7.8,27
02-01-2023 02:32,6.7,7.8,27.1
02-01-2023 02:47,6.9,7.8,27
02-01-2023 03:02,6.6,7.7,26.9
02-01-2023 03:17,6.6,7.6,27
02-01-2023 03:32,6,7.7,26.8
02-01-2023 03:47,6.5,7.7,26.8
02-01-2023 04:02,6.6,7.9,26.5
02-01-2023 04:17,6.7,7.8,26.8
02-01-2023 04:32,6.4,7.8,26.8
02-01-2023 04:47,6.6,7.8,26.7
02-01-2023 05:02,6.7,7.9,26.2
02-01-2023 05:17,6.5,7.9,26.2
02-01-2023 05:32,6.7,7.8,26.2
02-01-2023 05:47,6.6,7.9,26
02-01-2023 06:02,6.6,7.9,25.9
02-01-2023 06:17,6.5,7.9,26
02-01-2023 06:32,6.5,8,26.1
02-01-2023 06:47,6.5,7.9,26
02-01-2023 07:02,6.5,8,25.7
02-01-2023 07:17,6.4,8.3,25.6
02-01-2023 07:32,6.4,7.9,25
02-01-2023 07:47,6.4,8,25.7
